sale_id,date,customer_id,product_id,quantity,first_name,last_name,email,country,gender,age,product_name,category,unit_price,supplier,total_price
1,2025-10-01,3,127,1,Joshua,Stone,ywoods@gmail.com,Bahrain,Male,64,Night Light 127,Desk Lamp,130.17,"Hester, Hebert and Henderson",130.17
684,2025-04-15,2838,127,2,Caleb,Schneider,carl95@yahoo.com,Croatia,Male,42,Night Light 127,Desk Lamp,130.17,"Hester, Hebert and Henderson",260.34
697,2025-10-22,4176,127,2,Eric,Payne,philipbrown@johnson-hanson.info,Saint Martin,Male,52,Night Light 127,Desk Lamp,130.17,"Hester, Hebert and Henderson",260.34
728,2025-07-24,930,127,4,Christopher,Miller,clarkdavid@bradshaw.com,Libyan Arab Jamahiriya,Male,49,Night Light 127,Desk Lamp,130.17,"Hester, Hebert and Henderson",520.68
1480,2025-01-07,4523,127,1,Todd,Bonilla,odoyle@yahoo.com,Panama,Male,42,Night Light 127,Desk Lamp,130.17,"Hester, Hebert and Henderson",130.17
1795,2025-02-02,4254,127,4,Crystal,Wilkins,donnawebb@hotmail.com,South Georgia and the South Sandwich Islands,Female,63,Night Light 127,Desk Lamp,130.17,"Hester, Hebert and Henderson",520.68
1882,2024-11-30,82,127,2,Jose,Strickland,kwalker@hotmail.com,Guernsey,Female,48,Night Light 127,Desk Lamp,130.17,"Hester, Hebert and Henderson",260.34
3136,2025-05-27,4108,127,3,Brenda,Flores,ycervantes@gmail.com,Ethiopia,Female,38,Night Light 127,Desk Lamp,130.17,"Hester, Hebert and Henderson",390.51
3380,2025-03-29,3445,127,4,Paul,Sullivan,teresadiaz@andrews.com,Burkina Faso,Female,62,Night Light 127,Desk Lamp,130.17,"Hester, Hebert and Henderson",520.68
3532,2025-09-07,90,127,2,Brandon,Oconnor,wagnerjade@perry.org,Namibia,Female,62,Night Light 127,Desk Lamp,130.17,"Hester, Hebert and Henderson",260.34
3781,2025-10-03,290,127,1,Joshua,Hicks,zharris@brooks.com,Iceland,Female,53,Night Light 127,Desk Lamp,130.17,"Hester, Hebert and Henderson",130.17
3838,2025-01-17,815,127,1,Ashley,Crawford,ryanadams@hotmail.com,Wallis and Futuna,Female,39,Night Light 127,Desk Lamp,130.17,"Hester, Hebert and Henderson",130.17
4550,2025-02-08,3098,127,2,Wendy,Keller,jdawson@morrow.com,Albania,Male,42,Night Light 127,Desk Lamp,130.17,"Hester, Hebert and Henderson",260.34
4641,2024-11-18,2631,127,1,Michelle,Keller,jameskim@yahoo.com,Mauritania,Male,61,Night Light 127,Desk Lamp,130.17,"Hester, Hebert and Henderson",130.17
5250,2025-07-11,2349,127,1,Donald,Phillips,kimjoseph@hotmail.com,Tunisia,Female,25,Night Light 127,Desk Lamp,130.17,"Hester, Hebert and Henderson",130.17
5257,2025-02-03,1618,127,2,Courtney,Tate,joseph86@tran.com,Mongolia,Male,48,Night Light 127,Desk Lamp,130.17,"Hester, Hebert and Henderson",260.34
5466,2025-07-30,2377,127,4,Christina,Wallace,robert34@holmes.com,Palau,Male,62,Night Light 127,Desk Lamp,130.17,"Hester, Hebert and Henderson",520.68
6024,2024-11-24,2217,127,1,Jennifer,Alvarez,deborah16@yahoo.com,Colombia,Female,27,Night Light 127,Desk Lamp,130.17,"Hester, Hebert and Henderson",130.17
7107,2025-10-27,1687,127,3,Theresa,Parks,kristymunoz@gmail.com,Bahamas,Female,57,Night Light 127,Desk Lamp,130.17,"Hester, Hebert and Henderson",390.51
8036,2025-02-17,2224,127,1,Michael,Medina,andreadavidson@mcclain.info,Zambia,Male,51,Night Light 127,Desk Lamp,130.17,"Hester, Hebert and Henderson",130.17
9710,2025-08-12,2444,127,1,Stephen,Higgins,sara77@yahoo.com,American Samoa,Female,51,Night Light 127,Desk Lamp,130.17,"Hester, Hebert and Henderson",130.17
9813,2025-02-28,4172,127,2,Jamie,Davis,obowman@jones.com,Mali,Male,50,Night Light 127,Desk Lamp,130.17,"Hester, Hebert and Henderson",260.34
10021,2025-04-26,2047,127,1,Timothy,Turner,yeseniathompson@hotmail.com,Azerbaijan,Female,57,Night Light 127,Desk Lamp,130.17,"Hester, Hebert and Henderson",130.17
10041,2024-12-16,2372,127,1,Richard,Berry,waltersgreg@reyes-james.org,Seychelles,Female,40,Night Light 127,Desk Lamp,130.17,"Hester, Hebert and Henderson",130.17
10478,2025-05-28,2161,127,1,Cody,Glover,qtyler@sullivan.net,Liechtenstein,Male,36,Night Light 127,Desk Lamp,130.17,"Hester, Hebert and Henderson",130.17
10749,2025-05-03,1166,127,2,Brandon,Ross,harveyphilip@gmail.com,Sweden,Female,54,Night Light 127,Desk Lamp,130.17,"Hester, Hebert and Henderson",260.34
11722,2024-12-21,3385,127,2,Elaine,Arnold,michael95@mclean-solis.com,Congo,Male,55,Night Light 127,Desk Lamp,130.17,"Hester, Hebert and Henderson",260.34
12165,2024-11-12,4807,127,1,Kathy,Washington,lhampton@yahoo.com,Kenya,Male,30,Night Light 127,Desk Lamp,130.17,"Hester, Hebert and Henderson",130.17
12226,2024-12-20,1005,127,1,Michael,Moreno,jwhitaker@gmail.com,Cuba,Male,40,Night Light 127,Desk Lamp,130.17,"Hester, Hebert and Henderson",130.17
13119,2025-07-31,2831,127,2,Nathan,Johnson,raymond30@gould.com,Guadeloupe,Female,68,Night Light 127,Desk Lamp,130.17,"Hester, Hebert and Henderson",260.34
13616,2024-12-17,3366,127,1,Benjamin,Cox,rogersmatthew@gmail.com,Guyana,Female,35,Night Light 127,Desk Lamp,130.17,"Hester, Hebert and Henderson",130.17
15049,2025-07-19,2631,127,3,Michelle,Keller,jameskim@yahoo.com,Mauritania,Male,61,Night Light 127,Desk Lamp,130.17,"Hester, Hebert and Henderson",390.51
15218,2025-09-27,3827,127,1,Corey,Hernandez,esmith@patel.com,Morocco,Female,32,Night Light 127,Desk Lamp,130.17,"Hester, Hebert and Henderson",130.17
